"tract_id","median_rent","median_value","median_income","median_year_built","avg_household_size"
"34019010100",575,646700,173403,1975,3
"34019010200",1167,355700,103972,1972,3
"34019010300",1087,210600,65750,1978,2
"34019010400",1528,372900,122059,1974,3
"34019010500",1230,338100,87750,1971,3
"34019010600",1249,403800,116542,1972,3
"34019010701",1447,394000,123233,1982,3
"34019010702",1307,468900,99219,1971,3
"34019010801",1196,352100,108068,1965,3
"34019010802",1958,258600,86667,1987,2
"34019010900",1341,240000,84397,1959,2
"34019011001",1963,436300,142476,1977,3
"34019011002",1432,391800,112950,1984,3
"34019011100",1686,379500,92988,1992,2
"34019011201",,512700,168491,1977,3
"34019011202",1479,376500,94438,1983,3
"34019011301",1598,417300,141228,1983,3
"34019011302",947,423700,110649,1989,3
"34019011303",1376,271300,84091,,2
"34019011304",1605,450300,138368,1982,3
"34019011400",1263,289000,58401,1960,2
"34019011500",1173,363100,101232,1961,3
"34019011600",1196,447600,113705,1960,2
"34019011700",1711,405400,116048,1972,3
"34019011800",1336,392000,102944,1969,3
"34019011900",1209,365200,89955,1939,2
"34023000100",1278,321900,106786,1961,3
"34023000200",1303,280500,66071,1960,3
"34023000300",1213,285200,76333,1953,3
"34023000401",1757,282400,88906,1966,3
"34023000403",1848,305300,109643,1994,3
"34023000404",1335,276400,65039,1966,3
"34023000501",2047,254700,77598,1960,3
"34023000502",1411,279200,79643,1974,3
"34023000603",2031,373200,112796,1976,3
"34023000606",2027,330000,96095,1987,3
"34023000608",1775,244900,70682,1985,3
"34023000701",1388,408000,89583,1978,3
"34023000702",1028,329700,99722,1963,3
"34023000801",1750,322000,84833,1956,3
"34023000802",1642,321800,97308,1958,3
"34023000901",1681,306500,106875,1958,3
"34023000902",1270,311100,64811,1960,3
"34023001001",1603,338400,100273,1964,3
"34023001002",1646,334500,102432,1986,3
"34023001100",1358,394700,71220,1957,2
"34023001200",1245,329700,60734,1959,3
"34023001300",1318,356800,73875,1949,3
"34023001409",,510200,157045,1969,3
"34023001410",,479500,111204,1983,3
